Year,Adolescent birth rate (per 1000 women),Antenatal care coverage - at least four visits (%),Births attended by skilled health personnel (%),Births by caesarean section (%),Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),Prevalence of anaemia in women of reproductive age (aged 15-49) (%),Proportion of births delivered in a health facility (Facility births) (%)
2000,,,27.0,,27.166666666666668,33.03333333333333,19.8
2001,,,,,27.46666666666667,32.63333333333333,
2002,,,,,27.933333333333334,32.233333333333334,
2003,,,56.0,,28.46666666666667,31.933333333333334,56.1
2004,36.46772003,,,,29.2,31.7,
2005,36.46772003,,52.0,,29.96666666666667,31.53333333333333,
2006,43.81443405,,57.0,,30.7,31.3,
2007,,,71.0,,31.399999999999995,31.100000000000005,
2008,,,66.0,,32.03333333333333,30.900000000000002,
2009,59.0,,66.0,,32.666666666666664,30.7,
2010,,77.3,65.0,12.4,33.333333333333336,30.566666666666666,63.0
2011,19.60000038,,70.0,,34.0,30.533333333333335,
2012,28.39999962,81.5,75.0,,34.73333333333333,30.5,75.25
2013,,,89.0,,35.53333333333333,30.566666666666666,
2014,,,89.0,,36.4,30.666666666666668,
2015,,84.9,89.0,,37.333333333333336,30.8,
2016,14.19347191,,89.0,,38.333333333333336,31.0,
2017,,,96.0,,39.6,31.266666666666666,93.4
2018,,,96.0,,40.96666666666667,31.46666666666667,
2019,3.9589526655,,96.0,,42.4,31.7,94.5
2020,4.1010160445,,99.0,,43.833333333333336,32.03333333333333,
2021,5.28428173,,99.0,,45.4,32.4,
2022,3.0589544775,,,,47.0,32.800000000000004,
2023,,87.2,99.0,,48.86666666666667,33.4,
